ID,Country_of_origin
2196,UK
2197,UK
2198,UK
2199,UK
2200,UK
2201,UK
2202,UK
2203,UK
2204,UK
2205,UK
2206,UK
2207,UK
2208,UK
2209,UK
2210,UK
2211,UK
2212,UK
2213,UK
2214,UK
2215,UK
2216,UK
2217,UK
2218,UK
2219,UK
2220,UK
2221,UK
2222,UK
2223,UK
2224,UK
2225,UK
2226,UK
2227,UK
2228,UK
2229,UK
2230,UK
2232,UK
2233,UK
2234,UK
2235,UK
2236,UK
2237,UK
2238,UK
2239,UK
2240,UK
2241,UK
2242,UK
2243,UK
2244,UK
2245,UK
2246,UK
2247,UK
2248,UK
2249,UK
2250,UK
2251,UK
2252,UK
2253,UK
2254,UK
2255,Germany
2256,Germany
2257,Germany
2258,Germany
2259,Germany
2260,Germany
2261,Germany
2262,Germany
2263,Germany
2264,Germany
2265,Germany
2266,Germany
2267,Germany
2268,Germany
2269,Germany
2270,Germany
2271,Germany
2272,Germany
2273,Germany
2274,Germany
2275,Germany
2276,Germany
2277,Germany
2278,Germany
2323,Colombia
2324,Colombia
2325,Colombia
2326,Colombia
2327,Colombia
2328,Colombia
2329,Colombia
2330,Colombia
2331,Colombia
2332,Colombia
2336,UK
2337,UK
2338,UK
2339,UK
2340,UK
2341,UK
2342,UK
2343,UK
2344,UK
2345,UK
2346,UK
2347,UK
2348,Denmark
2349,Denmark
2350,Denmark
2351,Denmark
2352,Denmark
2353,Denmark
2354,Denmark
2355,Denmark
2356,Denmark
2357,Denmark
2358,UK
2359,UK
2360,UK
2361,UK
2362,UK
2363,UK
2364,UK
2365,UK
2366,UK
2367,UK
2368,UK
2369,UK
2370,UK
2371,UK
2372,UK
2373,UK
2374,UK
2375,UK
2376,UK
2377,UK
2378,UK
2379,UK
2380,UK
2381,UK
2382,UK
2383,UK
2384,UK
2385,UK
2386,UK
2387,UK
2388,UK
2389,UK
2390,UK
2391,UK
2392,UK
2393,UK
2394,UK
2395,UK
2396,UK
2397,UK
2398,UK
2399,UK
2400,UK
2401,UK
2402,UK
2403,UK
2404,UK
2405,UK
2406,UK
2407,UK
2408,UK
2409,UK
2410,UK
2411,UK
2412,UK
2413,UK
2414,UK
2415,UK
2416,UK
2417,UK
2418,UK
2419,UK
2420,UK
2421,UK
2422,UK
2423,UK
2424,UK
2425,UK
2426,UK
2427,UK
2428,UK
2429,UK
2430,UK
2431,UK
2432,UK
2433,UK
2434,UK
2435,UK
2436,UK
2437,UK
2438,UK
2439,UK
2440,UK
2441,UK
2442,UK
2443,UK
2444,UK
2445,UK
2446,UK
2447,UK
2448,UK
2449,UK
2450,UK
2451,UK
2452,UK
2453,UK
2454,UK
2455,UK
2456,UK
2457,UK
2458,UK
2459,UK
2460,UK
2461,UK
2462,UK
2463,UK
2464,UK
2465,UK
2466,UK
2467,UK
2468,UK
2469,UK
2470,UK
2471,UK
2472,UK
2473,UK
2474,UK
2475,UK
2476,UK
2477,UK
2478,UK
2479,UK
2480,UK
2481,UK
2482,UK
2483,UK
2484,UK
2485,UK
2486,UK
2487,UK
2488,UK
2489,UK
2490,UK
2491,UK
2492,UK
2493,UK
2494,UK
2495,UK
2496,UK
2497,UK
2498,UK
2499,UK
2500,UK
2501,UK
2502,UK
2503,UK
2504,UK
2505,UK
2506,UK
2507,UK
2508,UK
2509,UK
2510,UK
2511,UK
2512,UK
2513,UK
2514,UK
2515,UK
2516,UK
2517,UK
2518,UK
2519,UK
2520,UK
2521,UK
2522,UK
2523,UK
2524,UK
2525,UK
2526,UK
2527,UK
2528,UK
2529,UK
2530,UK
2531,UK
2532,UK
2533,UK
2534,UK
2535,UK
2536,UK
2537,UK
2538,UK
2539,UK
2540,UK
2541,UK
2542,UK
2543,UK
2544,UK
2545,UK
2546,UK
2547,UK
2548,UK
2549,UK
2550,UK
2551,UK
2552,UK
2553,UK
2554,UK
2555,UK
2556,UK
2557,UK
2558,UK
2559,UK
2579,Bangladesh
2580,Bangladesh
2581,Bangladesh
2582,Bangladesh
2583,Bangladesh
2584,New_Zealand
2585,Australia
2586,Australia
2587,Australia
2588,Australia
2589,Australia
2590,Australia
2591,Australia
2592,Australia
2593,Australia
2594,Australia
2595,Australia
2596,Australia
2597,Australia
2598,Australia
2599,Australia
2600,Australia
2601,Australia
2602,Australia
2603,Australia
2604,Australia
2605,Australia
2606,Australia
2607,Australia
2608,Australia
2609,Australia
2610,Australia
2611,Australia
2612,Australia
2613,Australia
2614,Australia
2615,Australia
2616,Australia
2617,Australia
2618,Australia
2619,Australia
2620,Australia
2621,Australia
